Country Code,IMF Country Code,Country,Indicator Type,Series Name,19701,19702,19703,19704,19711,19712,19713,19714,19721,19722,19723,19724,19731,19732,19733,19734,19741,19742,19743,19744,19751,19752,19753,19754,19761,19762,19763,19764,19771,19772,19773,19774,19781,19782,19783,19784,19791,19792,19793,19794,19801,19802,19803,19804,19811,19812,19813,19814,19821,19822,19823,19824,19831,19832,19833,19834,19841,19842,19843,19844,19851,19852,19853,19854,19861,19862,19863,19864,19871,19872,19873,19874,19881,19882,19883,19884,19891,19892,19893,19894,19901,19902,19903,19904,19911,19912,19913,19914,19921,19922,19923,19924,19931,19932,19933,19934,19941,19942,19943,19944,19951,19952,19953,19954,19961,19962,19963,19964,19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214,20221,20222,20223,20224,20231,,Data source,Base date,Note
ARG,213,Argentina,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4,119.5,126.7,139.3,161.5,177.9,191.4,220.8,246.0,272.6,293.2,310.1,320.8,325.6,338.0,361.4,382.6,410.8,438.5,466.9,507.1,588.3,680.8,815.1,980.1,,IMF CPI,end-2016,"Housing, Water, Electricity, Gas & Other Fuel"
AUS,193,Australia,index,Energy Price Index,,,,,,6.3,6.3,6.6,6.6,6.6,6.7,6.7,6.7,6.6,6.9,7.4,7.5,7.7,8.0,8.1,8.9,9.2,9.3,9.9,10.2,10.0,10.2,10.2,10.7,10.6,10.7,11.5,11.5,11.7,11.7,13.3,13.8,14.8,15.8,17.0,17.1,18.8,18.5,18.9,20.3,21.6,21.0,21.8,22.0,22.7,25.2,25.8,26.6,25.8,27.3,28.5,28.4,28.9,29.4,29.5,30.1,32.1,32.8,32.1,32.9,30.4,31.8,33.4,34.0,33.3,33.7,34.7,34.9,33.5,33.9,33.4,33.4,35.2,35.9,37.1,38.8,38.8,40.0,46.7,41.5,39.9,41.9,41.8,41.5,41.6,43.1,43.1,42.4,42.7,42.9,43.1,41.9,43.3,43.5,42.8,43.4,43.9,45.1,44.7,44.1,45.0,44.6,45.4,45.9,45.4,45.3,45.6,44.3,44.5,43.4,43.1,42.4,43.7,46.1,46.4,48.7,49.6,55.0,55.4,54.2,55.2,52.9,51.6,52.1,54.4,54.4,54.9,58.9,55.1,56.5,56.2,57.8,59.6,61.3,62.4,61.8,64.3,69.5,69.1,70.2,75.0,75.0,69.0,70.1,74.0,73.1,76.6,80.7,85.1,87.5,77.3,74.3,75.9,80.3,79.3,82.9,84.0,83.9,85.1,90.8,92.5,94.4,94.9,97.3,97.7,102.1,103.2,104.9,103.1,109.4,108.6,111.7,109.9,106.6,102.9,96.7,102.9,102.2,98.2,94.0,96.4,97.1,99.8,104.0,102.8,106.1,111.0,113.2,115.8,117.0,127.6,121.9,127.0,125.8,135.3,132.1,118.8,123.0,125.3,130.1,135.7,140.8,147.2,156.2,159.2,159.8,163.4,167.6,,OECD,2015,Energy 
BRA,223,Brazil,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,103.2,106.2,97.3,96.6,99.1,102.3,102.5,110.8,116.8,136.7,161.0,170.8,187.1,190.4,206.6,225.4,219.4,221.2,233.4,247.9,196.5,135.7,87.4,84.8,181.4,265.0,345.2,398.1,397.5,559.2,876.6,1 112.9,965.9,1 180.0,1 731.5,4 310.2,6 038.6,3 871.1,1 997.2,640.2,373.8,380.0,447.5,529.9,774.2,1 012.3,1 117.3,1 191.3,1 387.5,1 756.9,2 287.3,3 104.8,4 453.0,2 931.6,1 216.3,404.2,81.4,26.5,23.1,21.5,17.6,14.1,10.8,9.1,7.8,5.7,5.3,4.6,3.7,2.6,1.8,2.3,3.3,5.5,8.4,7.9,6.6,7.6,6.2,6.2,7.0,6.6,7.5,7.6,7.8,7.6,10.6,15.6,16.9,15.2,11.4,6.8,5.5,6.9,7.2,7.4,7.8,6.2,6.1,5.5,4.3,3.8,3.1,3.0,3.3,4.0,4.3,4.6,5.6,6.3,6.2,5.8,5.2,4.4,4.2,4.9,5.1,4.6,5.6,6.1,6.6,7.1,6.7,5.8,5.0,5.2,5.6,6.4,6.6,6.1,5.8,5.8,6.4,6.6,6.5,7.7,8.5,9.5,10.4,10.1,9.1,8.7,7.0,4.9,3.6,2.6,2.8,2.8,3.3,4.4,4.1,4.1,4.3,3.2,3.4,3.8,2.1,2.6,4.3,5.3,7.7,9.6,10.5,10.7,11.9,8.6,,,,National source,2015,Energy (estimated)
CAN,156,Canada,index,Energy Price Index,8.6,8.7,8.7,8.7,8.9,9.2,9.2,9.2,9.3,9.4,9.4,9.4,9.7,9.9,10.4,10.8,11.1,11.7,12.1,12.1,12.5,12.8,13.9,14.4,15.0,15.1,15.5,16.1,16.6,17.2,17.4,17.9,18.3,18.7,19.1,19.5,20.1,20.3,20.8,21.8,22.7,23.4,24.0,26.1,28.6,30.4,32.4,33.8,35.5,37.2,38.2,39.1,39.2,39.4,41.8,41.3,42.4,42.0,42.6,43.5,44.9,44.8,44.6,45.8,45.9,41.1,40.3,39.9,41.5,42.8,43.5,43.8,43.3,43.6,43.2,42.4,42.8,44.7,45.5,45.4,46.9,48.2,48.7,52.5,52.6,50.6,51.9,50.9,50.9,51.1,52.3,52.2,52.3,52.4,52.4,52.0,51.6,52.3,53.6,52.7,52.7,54.0,53.5,52.8,53.4,55.6,54.4,55.9,56.6,55.7,56.3,55.8,54.2,54.0,53.5,53.6,53.2,55.7,58.3,60.4,63.3,64.4,67.0,69.8,67.5,72.5,69.4,63.6,63.9,66.2,68.3,69.2,75.1,70.3,73.0,70.3,73.0,78.7,78.5,78.1,78.8,82.9,89.8,86.6,86.9,93.0,92.0,83.6,86.6,93.9,92.0,91.3,94.0,105.7,110.3,89.5,84.3,86.4,87.8,87.3,89.4,91.2,93.2,95.0,99.0,106.3,105.2,103.4,105.2,105.8,106.1,103.8,105.4,106.9,109.3,105.6,109.3,115.3,113.2,104.6,96.9,102.1,103.6,97.4,91.8,98.3,98.5,99.5,101.9,102.1,101.0,103.8,107.0,112.3,112.0,104.7,102.1,111.0,107.4,106.0,101.7,91.8,100.1,100.5,107.5,115.6,120.3,124.9,134.5,154.1,144.7,140.6,133.2,,OECD,2015,Energy 
CHN,924,China,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,21.9,25.7,26.9,22.6,19.7,14.8,11.1,9.4,9.1,7.9,7.0,5.2,2.9,2.1,1.0,0.3,-0.9,-1.4,-1.1,-1.4,-2.2,-1.2,-0.8,0.1,0.1,0.3,0.9,0.7,1.6,0.8,-0.1,-0.6,-1.0,-0.8,-0.6,0.5,0.6,0.8,2.6,2.8,4.3,5.2,3.1,2.7,1.7,1.3,1.4,1.4,1.7,1.6,1.9,2.7,3.6,6.2,6.7,8.1,7.9,5.3,2.6,-0.6,-1.5,-1.3,0.5,2.1,2.7,3.3,4.6,5.2,6.0,6.4,4.6,3.7,2.8,1.9,2.1,2.5,2.4,2.7,2.9,2.2,2.1,1.9,1.4,1.1,1.4,1.8,1.5,2.1,2.1,1.6,2.2,1.4,1.5,1.6,1.8,2.1,1.7,2.3,2.2,1.8,2.7,2.9,4.2,5.0,2.7,2.0,0.1,-0.1,1.3,1.0,1.8,1.2,2.3,2.7,,,,National source,2020,"Housing, Water, Electricity, Gas & Other Fuel"
DEU,134,Germany,index,Energy Price Index,15.3,15.1,15.5,16.1,16.5,16.3,16.1,16.3,16.9,16.9,16.9,17.5,18.3,18.6,19.6,23.0,23.7,22.4,23.0,23.7,24.5,24.8,26.0,27.1,27.3,27.4,27.4,27.4,27.7,27.6,27.6,27.7,28.0,28.2,28.2,28.8,31.6,33.8,35.8,35.6,37.0,37.8,37.4,39.1,41.8,42.5,45.1,46.4,46.8,46.7,47.5,49.1,46.6,46.2,47.6,48.1,48.5,48.3,48.5,49.7,51.1,50.2,50.3,50.7,48.3,45.7,43.4,41.4,41.1,40.3,40.7,40.4,39.6,39.6,39.4,39.1,40.7,41.1,41.3,42.7,42.6,42.0,43.1,45.2,45.4,45.1,48.8,50.4,49.4,49.8,49.4,49.6,50.2,50.4,50.0,49.9,51.8,52.0,52.1,51.9,51.6,51.8,51.3,51.4,50.3,50.8,51.0,52.2,52.6,52.1,52.7,52.8,51.4,51.2,50.8,50.1,49.6,52.7,54.4,55.1,57.4,58.7,61.7,63.3,63.5,65.7,64.4,61.9,63.2,64.8,64.5,64.2,68.1,66.0,66.5,66.4,67.0,69.3,70.5,71.0,71.4,74.8,79.2,79.6,81.0,83.9,83.9,81.4,83.2,85.6,86.4,88.3,91.0,96.1,97.9,91.1,88.9,89.8,89.6,89.3,91.3,94.0,93.1,94.8,100.3,103.1,103.2,104.5,107.7,108.2,109.8,109.0,110.5,110.0,110.9,109.1,108.3,109.1,108.9,104.9,100.0,102.8,100.4,96.8,92.7,95.0,94.7,96.1,97.6,96.8,96.2,97.7,98.0,100.6,102.6,104.9,101.2,104.3,103.3,102.9,102.6,97.3,96.5,95.9,103.7,106.4,109.1,115.1,132.6,146.1,151.7,156.6,151.3,,OECD,2015,Energy 
FRA,132,France,index,Energy Price Index,9.8,9.9,10.0,10.1,10.3,10.6,10.8,10.9,10.9,10.9,11.0,11.0,11.1,11.1,11.4,12.0,14.6,15.5,16.1,16.3,16.9,16.8,16.8,17.1,17.8,18.5,18.7,19.6,20.2,20.9,21.1,21.2,21.4,22.0,23.6,23.7,24.3,25.3,27.4,28.2,31.5,32.8,33.5,34.7,36.6,37.8,41.4,42.1,43.4,44.6,46.2,48.3,48.3,49.6,50.5,51.2,52.2,52.8,54.4,56.2,58.0,59.7,58.4,57.2,53.4,51.8,49.7,48.9,49.5,49.2,49.6,49.2,48.2,48.7,49.5,49.0,49.9,52.1,51.2,51.7,52.1,51.7,54.1,56.5,54.9,54.2,54.9,55.2,54.3,54.3,54.1,54.0,54.3,54.7,56.0,56.2,56.1,56.2,56.2,56.1,56.9,57.1,57.4,57.9,58.6,59.4,59.3,61.0,61.4,60.4,60.4,61.0,60.5,59.4,58.4,58.2,57.5,58.4,59.8,61.8,64.6,65.5,67.8,68.4,65.0,67.0,66.0,64.2,63.4,64.7,64.6,65.6,68.1,65.2,65.5,65.6,66.3,68.5,69.7,72.3,71.8,74.5,78.6,79.0,79.1,82.3,82.7,79.2,79.1,81.8,82.4,86.0,88.6,94.2,95.4,86.8,80.1,79.7,81.2,82.7,85.6,89.0,88.8,91.7,97.8,99.6,99.3,101.3,105.0,104.2,104.6,104.8,107.0,104.7,105.4,105.1,106.2,105.2,104.4,103.0,100.8,102.4,99.4,97.4,95.1,97.5,97.5,99.6,104.7,102.7,101.2,104.5,109.9,112.1,114.3,115.6,113.6,116.0,114.9,115.7,114.0,105.0,106.4,107.2,112.9,115.7,120.4,128.9,139.9,150.0,148.6,152.0,156.1,,OECD,2015,Energy 
GBR,112,United Kingdom,index,Energy Price Index,4.9,4.9,4.9,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.7,5.8,5.8,5.8,5.8,6.1,6.8,7.4,7.7,8.0,9.2,9.9,10.3,10.6,11.0,11.5,11.9,12.3,12.6,13.3,13.4,13.3,13.3,13.5,13.7,13.8,14.1,14.8,17.1,17.6,18.2,19.8,20.8,21.4,22.3,23.8,25.1,25.5,25.3,26.5,27.6,28.3,28.4,28.7,29.1,29.3,29.3,29.6,29.8,30.3,30.7,31.8,31.5,31.2,30.6,29.1,29.0,29.4,29.7,29.6,29.5,29.2,29.0,29.6,30.2,30.1,30.4,31.9,32.0,32.1,32.3,33.9,35.7,36.8,35.3,37.5,38.3,38.2,37.5,38.5,38.3,38.9,38.8,39.8,39.5,39.6,39.8,41.4,41.8,41.7,42.4,42.8,42.8,42.6,43.3,43.3,43.6,44.9,45.0,44.6,45.7,45.3,44.7,45.7,45.6,45.3,45.2,47.3,48.1,48.8,49.5,50.7,51.2,51.1,49.4,50.0,49.9,48.0,48.0,49.3,49.1,49.3,50.3,50.0,50.0,50.4,51.1,53.0,53.6,55.6,56.1,58.2,60.7,62.2,63.1,68.5,70.5,69.8,70.8,72.1,71.0,73.0,77.9,83.9,88.5,86.1,82.4,83.2,85.1,86.4,88.1,89.7,88.5,90.4,96.0,98.5,100.2,104.6,105.1,104.7,103.9,105.7,108.6,108.0,108.6,108.1,109.7,109.1,108.9,105.9,100.4,101.9,100.3,97.4,94.5,96.9,98.3,100.4,102.6,102.5,103.1,105.4,106.3,109.0,112.6,114.2,107.8,115.7,115.6,112.1,111.1,103.3,105.3,102.0,105.1,112.8,115.4,126.7,130.9,173.6,176.5,196.7,191.3,,OECD,2015,Energy 
IDN,536,Indonesia,index,Energy Price Index,13.1,15.2,12.4,9.0,6.4,5.0,2.2,3.3,0.9,3.2,4.5,17.7,20.8,27.9,42.5,32.9,45.5,47.1,36.3,34.8,20.6,17.7,19.2,19.3,21.0,19.8,21.7,17.0,12.4,11.7,9.9,10.4,10.1,9.1,6.9,6.5,8.3,14.0,20.8,21.5,21.1,18.8,15.8,16.9,16.9,13.7,11.0,8.1,10.6,9.1,8.6,9.6,9.4,12.3,13.5,12.1,12.1,11.5,9.5,8.9,4.4,4.9,4.8,4.8,5.8,3.7,4.7,9.1,8.7,9.6,10.0,8.8,8.7,8.6,8.8,6.1,6.3,7.2,5.9,6.3,6.1,5.8,9.3,9.9,9.4,9.5,9.1,9.6,9.8,9.2,6.3,5.0,9.2,9.4,9.8,10.2,7.9,7.6,8.9,9.7,9.1,10.5,9.3,8.8,10.6,8.0,7.1,6.4,4.4,4.9,6.4,9.2,27.7,49.7,76.3,78.4,55.7,30.9,6.6,1.7,-0.6,1.1,5.7,8.8,9.3,11.2,12.8,12.6,14.5,12.7,10.4,10.2,7.8,7.2,6.4,5.7,4.8,6.4,6.7,6.3,7.7,7.7,8.4,17.8,16.9,15.5,14.9,6.1,6.4,6.0,6.5,6.7,7.6,10.2,11.9,11.1,7.7,4.8,2.8,2.6,3.7,4.4,6.2,6.3,6.8,5.9,4.7,4.1,3.7,4.5,4.5,4.4,4.7,5.2,7.9,7.8,7.8,7.1,4.4,6.5,6.5,7.1,7.1,4.8,4.3,3.5,3.0,3.3,3.6,4.3,3.8,3.5,3.3,3.3,3.1,3.2,2.6,3.1,3.4,2.9,2.9,2.1,1.2,1.5,1.4,1.5,1.6,1.8,2.3,3.8,5.2,3.4,3.3,,National source,2018,Energy 
