Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note
ARG,213,Argentina,Inflation,Food Consumer Price Inflation,16.5,16.5,41.7,63.1,55.2,15.1,187.7,458.6,163.2,163.2,168.7,95.1,99.2,178.4,339.0,638.9,624.1,98.1,132.8,332.9,3086.5,2129.2,161.1,30.2,10.3,1.4,2.8,-0.5,-0.7,1.7,-3.7,-2.6,-1.9,34.6,19.2,5.0,11.0,12.1,11.2,6.8,2.8,14.4,8.7,,,,49.4,20.4,32.7,58.3,47.0,49.8,74.6,,Food and non-acoholic beverage
AUS,193,Australia,Inflation,Food Consumer Price Inflation,3.6,3.9,3.9,15.4,14.8,7.9,12.1,11.4,9.8,13.8,12.6,9.5,7.6,10.2,5.5,6.2,8.9,5.4,7.9,8.8,4.4,3.4,1.4,2.4,1.2,4.0,2.8,2.6,2.7,3.4,2.4,6.6,3.6,3.7,2.3,2.4,7.8,2.3,4.7,3.7,1.5,4.8,-1.6,0.8,2.5,0.9,0.8,0.7,1.0,4.5,9.3,7.9,8.2,,Food and non-acoholic beverage
BRA,223,Brazil,Inflation,Food Consumer Price Inflation,26.0,24.9,21.5,18.2,30.5,30.8,39.6,40.5,,,100.2,49.8,90.9,158.6,204.2,221.1,131.6,196.8,653.1,1345.1,2618.2,450.0,1090.6,1949.8,2280.1,58.5,5.9,0.7,2.8,3.4,5.1,6.7,9.7,20.4,4.0,3.1,0.0,6.8,13.0,5.8,6.1,8.8,8.1,11.2,7.5,9.8,12.5,0.9,0.9,4.9,9.1,12.7,11.5,,Food and non-acoholic beverage
CAN,156,Canada,Inflation,Food Consumer Price Inflation,1.6,0.5,7.7,15.0,15.8,12.5,1.6,8.8,17.4,13.5,11.1,11.9,6.4,2.9,6.1,2.5,5.0,4.5,2.0,3.1,3.9,2.3,-1.4,1.8,0.1,2.7,1.2,1.5,1.6,1.1,1.1,4.8,2.5,1.4,1.8,2.3,2.3,2.6,3.9,5.5,0.9,4.2,2.4,1.1,2.5,4.1,1.0,-1.0,0.8,3.7,2.4,2.2,9.8,,Food and non-acoholic beverage
CHN,924,China,Inflation,Food Consumer Price Inflation,,,,,,0.3,0.0,0.1,0.1,2.8,10.6,-1.1,3.1,1.2,8.3,13.0,7.4,8.9,20.7,17.1,1.1,2.5,10.7,16.5,32.0,22.4,7.6,-0.1,-3.2,-4.2,-2.6,0.0,-0.7,3.4,9.8,2.8,2.5,12.4,14.4,0.7,7.3,11.9,4.9,4.7,3.1,2.5,4.5,-1.3,1.8,9.3,10.7,-1.7,2.5,,Food and non-acoholic beverage
DEU,134,Germany,Inflation,Food Consumer Price Inflation,2.4,3.8,5.7,7.5,4.8,5.3,4.6,4.9,1.4,1.7,4.0,4.8,6.2,2.7,1.5,0.9,0.6,-0.5,0.2,2.3,3.0,2.7,2.1,0.5,1.6,1.0,0.6,1.4,1.1,-1.3,-0.7,4.5,0.8,-0.2,-0.3,0.0,2.0,3.8,6.1,-1.3,1.2,2.8,3.4,3.9,1.0,0.6,0.8,2.8,2.3,1.2,2.3,3.2,12.6,,Food and non-acoholic beverage
FRA,132,France,Inflation,Food Consumer Price Inflation,6.3,6.0,7.7,9.9,12.5,11.5,11.1,12.8,9.0,9.2,10.4,14.1,13.2,9.5,8.3,5.4,3.4,3.1,2.4,4.3,3.1,2.8,0.4,-0.1,0.8,1.2,1.1,1.8,1.7,0.4,2.2,5.5,2.7,2.3,0.5,0.2,1.7,1.5,5.1,0.1,0.8,2.0,2.9,1.1,-0.8,0.4,0.6,1.1,2.0,2.5,2.0,0.6,7.3,,Food and non-acoholic beverage
GBR,112,United Kingdom,Inflation,Food Consumer Price Inflation,6.9,11.5,8.9,15.4,18.0,25.0,19.8,18.8,7.8,12.6,13.6,8.7,7.8,3.7,5.9,4.0,3.3,3.1,3.4,5.6,8.1,5.3,2.1,1.7,0.9,3.6,3.2,-0.2,1.0,0.3,-0.5,3.8,0.8,1.3,0.8,1.5,2.4,4.5,9.2,5.5,3.4,5.5,3.2,3.7,-0.2,-2.6,-2.4,2.3,2.1,10.9,0.7,0.3,10.9,,Food and non-acoholic beverage
IDN,536,Indonesia,Inflation,Food Consumer Price Inflation,9.2,2.6,10.4,43.4,41.3,20.6,22.0,10.7,7.8,3.0,17.0,14.8,5.9,9.2,9.9,2.4,8.6,11.0,12.9,8.0,7.2,8.0,7.7,7.0,10.8,13.3,8.1,8.7,92.6,25.0,-4.8,8.4,10.8,1.1,5.9,10.3,14.9,11.0,17.0,7.0,9.4,8.5,5.9,11.8,6.8,7.2,7.2,2.1,4.2,,3.4,2.7,6.3,,"Food, Beverage and Tobacco"
IND,534,India,Inflation,Food Consumer Price Inflation,5.9,3.3,4.5,19.5,27.2,-0.6,-6.0,8.2,3.4,3.0,9.3,12.3,6.7,9.3,8.9,8.3,10.3,9.9,6.2,8.1,10.5,15.7,11.1,12.2,11.2,11.6,4.3,7.9,17.3,-2.4,3.9,1.2,1.4,5.0,4.2,1.9,10.3,10.3,10.1,11.1,10.3,8.6,9.3,12.9,7.1,5.3,5.3,1.8,1.7,3.6,8.7,3.7,6.9,,Food and Beverages
ITA,136,Italy,Inflation,Food Consumer Price Inflation,4.3,4.2,7.2,12.0,19.6,19.7,19.0,17.5,13.0,13.8,15.7,16.1,15.3,11.7,9.2,8.8,5.4,3.6,3.5,6.3,6.0,6.4,5.0,2.0,3.6,6.2,3.9,-0.2,1.0,1.0,1.6,4.1,3.6,3.2,2.2,-0.1,1.7,2.9,5.4,1.8,0.2,2.5,2.5,2.4,0.1,1.1,0.2,1.9,1.2,0.8,1.4,0.6,9.1,,Food and non-acoholic beverage
JPN,158,Japan,Inflation,Food Consumer Price Inflation,6.2,6.0,3.8,13.1,27.7,13.0,9.1,6.7,3.5,2.1,6.0,5.3,1.8,2.1,2.8,1.7,0.2,-0.9,0.7,2.2,4.0,4.8,0.5,1.1,0.9,-1.2,-0.1,1.8,1.5,-0.5,-2.0,-0.6,-0.8,-0.2,1.0,-0.9,0.5,0.3,2.6,0.2,-0.3,-0.4,0.1,-0.1,3.8,3.1,1.7,0.7,1.4,0.2,1.2,-0.1,4.9,,Food and non-acoholic beverage
KOR,542,"Korea, Rep.",Inflation,Food Consumer Price Inflation,18.5,18.5,13.4,2.7,27.5,31.8,17.9,11.6,16.3,14.0,26.6,27.5,2.4,1.5,1.4,3.7,2.2,3.1,10.6,6.2,9.9,11.0,5.3,3.0,10.2,3.0,3.0,4.0,10.1,4.5,0.8,5.1,4.8,4.7,8.1,3.1,0.5,2.5,5.0,7.6,6.4,8.1,4.0,0.9,0.3,1.6,2.3,3.4,2.8,0.0,4.4,5.9,5.9,,Food and non-acoholic beverage
MEX,273,Mexico,Inflation,Food Consumer Price Inflation,5.4,4.4,4.1,15.6,30.9,12.4,12.2,28.9,16.5,18.6,25.2,25.8,53.4,89.4,75.5,59.8,84.8,130.9,110.4,21.6,25.9,19.3,10.7,5.5,4.7,39.6,42.3,19.1,16.0,15.7,5.4,5.1,3.8,5.5,7.2,5.4,3.7,6.6,8.1,8.8,3.3,4.4,8.1,5.2,4.7,4.0,4.5,7.0,4.8,4.4,6.6,7.2,13.3,,Food and non-acoholic beverage
TUR,186,Turkey,Inflation,Food Consumer Price Inflation,7.8,13.2,13.2,23.7,15.6,26.8,19.9,29.6,44.3,55.1,107.7,35.9,31.2,27.0,62.4,37.9,27.2,43.0,70.8,69.3,64.4,67.1,71.3,63.5,111.9,96.8,71.6,90.9,84.5,47.5,46.6,49.1,49.6,22.7,6.8,4.9,9.7,12.4,12.8,8.0,10.6,6.2,8.4,9.1,12.6,11.1,5.8,12.7,18.0,19.5,13.8,24.3,85.6,,Food and non-acoholic beverage
USA,111,United States,Inflation,Food Consumer Price Inflation,5.4,3.1,4.1,13.3,13.8,8.4,3.1,6.0,9.8,10.7,8.6,7.8,4.1,2.2,3.8,2.3,3.3,4.1,4.1,5.7,5.8,3.6,1.4,2.1,2.3,2.8,3.3,2.6,2.1,2.2,2.3,3.1,1.8,2.1,3.4,2.4,2.3,3.9,5.4,1.9,0.8,3.6,2.5,1.4,2.3,1.8,0.3,0.9,1.4,0.9,3.5,3.5,11.4,,Food and non-acoholic beverage
ZAF,199,South Africa,Inflation,Food Consumer Price Inflation,3.9,5.4,6.9,16.1,14.8,15.3,6.1,11.2,12.6,15.9,19.2,21.7,11.2,11.8,10.9,12.1,20.3,22.7,15.7,11.0,16.0,19.6,25.3,6.8,13.7,8.7,6.1,9.5,6.2,4.9,7.8,5.4,17.4,8.1,1.9,2.0,6.1,9.5,15.3,9.5,1.4,7.1,7.1,5.7,7.6,5.1,10.5,6.9,3.6,3.6,4.4,6.1,9.3,,Food and non-acoholic beverage
